movement_id,visitor_id,facility_id,sequence,floor,zone,timestamp
38,VIS-0016,1,2,1,Office A,2025-12-25 10:31:20
39,VIS-0016,1,3,1,Meeting Room 1,2025-12-25 10:54:40
40,VIS-0017,1,1,1,Lobby,2025-12-15 11:25:00
41,VIS-0017,1,2,3,Meeting Room 3,2025-12-15 12:15:00
42,VIS-0018,1,1,1,Lobby,2025-12-02 08:40:00
43,VIS-0018,1,2,3,Common Area,2025-12-02 09:01:40
44,VIS-0018,1,3,2,Meeting Room 2,2025-12-02 09:23:20
45,VIS-0019,1,1,1,Lobby,2025-12-01 07:56:00
46,VIS-0019,1,2,1,Office A,2025-12-01 08:40:00
47,VIS-0019,1,3,1,Meeting Room 1,2025-12-01 09:24:00
48,VIS-0020,1,1,1,Lobby,2025-12-04 10:34:00
49,VIS-0020,1,2,3,Common Area,2025-12-04 10:46:40
50,VIS-0020,1,3,2,Meeting Room 2,2025-12-04 10:59:20
51,VIS-0021,1,1,1,Lobby,2025-12-05 12:55:00
52,VIS-0021,1,2,1,Conference Room,2025-12-05 13:33:30
53,VIS-0022,1,1,1,Lobby,2025-12-22 08:26:00
54,VIS-0022,1,2,3,Meeting Room 3,2025-12-22 09:37:00
55,VIS-0023,1,1,1,Lobby,2025-12-11 14:04:00
56,VIS-0023,1,2,1,Office A,2025-12-11 14:38:00
57,VIS-0023,1,3,1,Meeting Room 1,2025-12-11 15:12:00
58,VIS-0024,1,1,1,Lobby,2025-12-11 11:02:00
59,VIS-0024,1,2,3,Meeting Room 3,2025-12-11 11:55:30
60,VIS-0025,1,1,1,Lobby,2025-12-22 08:04:00
61,VIS-0025,1,2,3,Common Area,2025-12-22 08:39:00
62,VIS-0025,1,3,2,Meeting Room 2,2025-12-22 09:14:00
63,VIS-0026,1,1,1,Lobby,2025-12-23 07:00:00
64,VIS-0026,1,2,1,Office A,2025-12-23 07:29:40
65,VIS-0026,1,3,1,Meeting Room 1,2025-12-23 07:59:20
66,VIS-0027,1,1,1,Lobby,2025-12-15 10:55:00
67,VIS-0027,1,2,1,Office A,2025-12-15 11:37:40
68,VIS-0027,1,3,1,Meeting Room 1,2025-12-15 12:20:20
69,VIS-0028,1,1,1,Lobby,2025-12-12 08:59:00
70,VIS-0028,1,2,2,Meeting Room 2,2025-12-12 09:47:00
71,VIS-0028,1,3,3,Storage,2025-12-12 10:35:00
72,VIS-0029,1,1,1,Lobby,2025-12-30 08:21:00
73,VIS-0029,1,2,1,Meeting Room 1,2025-12-30 09:32:00
74,VIS-0030,1,1,1,Lobby,2025-12-05 11:50:00
75,VIS-0030,1,2,1,Conference Room,2025-12-05 12:17:30
76,VIS-0031,1,1,1,Lobby,2025-12-02 11:36:00
77,VIS-0031,1,2,2,Meeting Room 2,2025-12-02 11:54:20
78,VIS-0031,1,3,3,Storage,2025-12-02 12:12:40
79,VIS-0032,1,1,1,Lobby,2025-12-12 10:05:00
80,VIS-0032,1,2,1,Meeting Room 1,2025-12-12 10:28:00
81,VIS-0033,1,1,1,Lobby,2025-12-22 10:37:00
82,VIS-0033,1,2,3,Common Area,2025-12-22 10:58:40
83,VIS-0033,1,3,2,Meeting Room 2,2025-12-22 11:20:20
84,VIS-0034,1,1,1,Lobby,2025-12-24 10:46:00
85,VIS-0034,1,2,1,Conference Room,2025-12-24 11:47:30
86,VIS-0035,1,1,1,Lobby,2025-12-15 10:24:00
87,VIS-0035,1,2,1,Office A,2025-12-15 11:03:40
88,VIS-0035,1,3,1,Meeting Room 1,2025-12-15 11:43:20
89,VIS-0036,1,1,1,Lobby,2025-12-30 08:33:00
90,VIS-0036,1,2,1,Conference Room,2025-12-30 09:01:30
91,VIS-0037,1,1,1,Lobby,2025-12-29 13:20:00
92,VIS-0037,1,2,3,Meeting Room 3,2025-12-29 13:58:00
93,VIS-0038,1,1,1,Lobby,2025-12-18 07:00:00
94,VIS-0038,1,2,1,Office A,2025-12-18 07:43:00
95,VIS-0038,1,3,1,Meeting Room 1,2025-12-18 08:26:00
96,VIS-0039,1,1,1,Lobby,2025-12-12 09:44:00
97,VIS-0039,1,2,1,Meeting Room 1,2025-12-12 10:44:30
98,VIS-0040,1,1,1,Lobby,2025-12-16 09:07:00
99,VIS-0040,1,2,3,Meeting Room 3,2025-12-16 09:40:00
100,VIS-0041,1,1,1,Lobby,2025-12-11 07:53:00
101,VIS-0041,1,2,1,Office A,2025-12-11 08:40:00
102,VIS-0041,1,3,1,Meeting Room 1,2025-12-11 09:27:00
103,VIS-0042,1,1,1,Lobby,2025-12-04 11:59:00
104,VIS-0042,1,2,1,Meeting Room 1,2025-12-04 12:42:30
105,VIS-0043,1,1,1,Lobby,2025-12-24 07:00:00
106,VIS-0043,1,2,3,Common Area,2025-12-24 07:37:00
107,VIS-0043,1,3,2,Meeting Room 2,2025-12-24 08:14:00
108,VIS-0044,1,1,1,Lobby,2025-12-19 09:16:00
109,VIS-0044,1,2,3,Common Area,2025-12-19 10:01:20
110,VIS-0044,1,3,2,Meeting Room 2,2025-12-19 10:46:40
111,VIS-0045,1,1,1,Lobby,2025-12-23 11:29:00
112,VIS-0045,1,2,1,Office A,2025-12-23 11:49:20
113,VIS-0045,1,3,1,Meeting Room 1,2025-12-23 12:09:40
114,VIS-0046,1,1,1,Lobby,2025-12-30 13:07:00
115,VIS-0046,1,2,1,Office A,2025-12-30 13:43:40
116,VIS-0046,1,3,1,Meeting Room 1,2025-12-30 14:20:20
117,VIS-0047,1,1,1,Lobby,2025-12-26 07:55:00
118,VIS-0047,1,2,3,Meeting Room 3,2025-12-26 08:37:00
119,VIS-0048,1,1,1,Lobby,2025-12-15 12:47:00
120,VIS-0048,1,2,1,Conference Room,2025-12-15 14:01:00
121,VIS-0049,1,1,1,Lobby,2025-12-12 10:36:00
122,VIS-0049,1,2,3,Meeting Room 3,2025-12-12 10:55:30
123,VIS-0050,1,1,1,Lobby,2025-12-17 10:30:00
124,VIS-0050,1,2,1,Conference Room,2025-12-17 11:04:30
125,VIS-0051,1,1,1,Lobby,2025-12-26 08:25:00
126,VIS-0051,1,2,1,Conference Room,2025-12-26 08:43:30
127,VIS-0052,1,1,1,Lobby,2025-12-26 18:00:00
128,VIS-0052,1,2,3,Common Area,2025-12-26 18:29:40
129,VIS-0052,1,3,2,Meeting Room 2,2025-12-26 18:59:20
130,VIS-0053,1,1,1,Lobby,2025-12-29 14:24:00
131,VIS-0053,1,2,1,Conference Room,2025-12-29 14:59:00
132,VIS-0054,1,1,1,Lobby,2025-12-16 13:43:00
133,VIS-0054,1,2,1,Conference Room,2025-12-16 14:22:30
134,VIS-0055,1,1,1,Lobby,2025-12-05 11:47:00
135,VIS-0055,1,2,3,Meeting Room 3,2025-12-05 12:22:30
136,VIS-0056,1,1,1,Lobby,2025-12-08 09:38:00
137,VIS-0056,1,2,3,Common Area,2025-12-08 10:12:40
138,VIS-0056,1,3,2,Meeting Room 2,2025-12-08 10:47:20
139,VIS-0057,1,1,1,Lobby,2025-12-18 11:18:00
140,VIS-0057,1,2,1,Meeting Room 1,2025-12-18 12:19:30
141,VIS-0058,1,1,1,Lobby,2025-12-03 11:38:00
142,VIS-0058,1,2,1,Conference Room,2025-12-03 12:52:30
143,VIS-0059,1,1,1,Lobby,2025-12-05 09:26:00
144,VIS-0059,1,2,1,Conference Room,2025-12-05 10:01:00
145,VIS-0060,1,1,1,Lobby,2025-12-10 08:28:00
146,VIS-0060,1,2,1,Conference Room,2025-12-10 08:59:30
