event_id,facility_id,floor,zone,event_type,severity,source,description,timestamp
22,1,1,Storage,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0089 denied entry at Storage (door DOOR-F1-Storage),2025-12-01 14:56:00
23,1,1,Conference Room,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0053 denied entry at Conference Room (door DOOR-F1-ConferenceRoom),2025-12-01 15:14:00
24,1,1,Storage,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0011 denied entry at Storage (door DOOR-F1-Storage),2025-12-01 16:03:00
25,1,1,Office A,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0056 denied entry at Office A (door DOOR-F1-OfficeA),2025-12-01 16:04:00
26,1,2,Common Area,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0068 denied entry at Common Area (door DOOR-F2-CommonArea),2025-12-01 16:04:00
27,1,2,Storage,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.98),2025-12-01 20:20:00
28,1,1,Office A,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F1-OfficeA detected tailgating (confidence 0.93),2025-12-01 21:07:00
29,1,2,Common Area,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F2-CommonArea detected loitering (confidence 0.94),2025-12-01 22:44:00
30,1,2,Mobile Zone,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0052 denied entry at Mobile Zone (door DOOR-F2-MobileZone),2025-12-02 10:55:00
31,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0054 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-02 11:18:00
32,1,3,Storage,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-Storage detected loitering (confidence 0.67),2025-12-02 11:32:00
33,1,3,Meeting Room 3,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0067 denied entry at Meeting Room 3 (door DOOR-F3-MeetingRoom3),2025-12-02 11:33:00
34,1,3,Break Area,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0077 denied entry at Break Area (door DOOR-F3-BreakArea),2025-12-02 11:41:00
35,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0076 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-02 11:45:00
36,1,1,Office D,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0075 denied entry at Office D (door DOOR-F1-OfficeD),2025-12-02 11:58:00
37,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0001 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-02 12:08:00
38,1,3,Storage,VISITOR_UNESCORTED_RESTRICTED_ZONE,HIGH,VISITOR_TRACKING,"Visitor Chris Almeida (VIS-0031, hosted by Suresh Chatterjee) entered restricted zone Storage unescorted",2025-12-02 12:12:40
39,1,1,Cafeteria,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0018 denied entry at Cafeteria (door DOOR-F1-Cafeteria),2025-12-02 13:11:00
40,1,2,Meeting Room 2,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F2-MeetingRoom2 detected object left unattended (confidence 0.7),2025-12-02 14:29:00
41,1,1,Cafeteria,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F1-Cafeteria detected object left unattended (confidence 0.86),2025-12-02 14:46:00
42,1,3,Storage,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0055 denied entry at Storage (door DOOR-F3-Storage),2025-12-02 15:32:00
43,1,1,Cafeteria,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0090 denied entry at Cafeteria (door DOOR-F1-Cafeteria),2025-12-02 17:04:00
44,1,3,Project Room,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-ProjectRoom detected loitering (confidence 0.8),2025-12-02 18:04:00
45,1,1,Office D,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F1-OfficeD detected object left unattended (confidence 0.75),2025-12-02 19:12:00
46,1,1,Meeting Room 1,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-MeetingRoom1 detected loitering (confidence 0.67),2025-12-02 19:51:00
47,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0046 accessed Storage outside working hours,2025-12-02 19:53:00
48,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0073 accessed Storage outside working hours,2025-12-02 21:01:00
49,1,1,Conference Room,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0024 accessed Conference Room outside working hours,2025-12-02 21:37:00
50,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0083 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-03 06:39:00
51,1,3,Office G,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F3-OfficeG detected tailgating (confidence 0.72),2025-12-03 07:21:00
52,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0051 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-03 08:18:00
53,1,1,Office A,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0076 denied entry at Office A (door DOOR-F1-OfficeA),2025-12-03 08:57:00
54,1,3,Office G,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-OfficeG detected loitering (confidence 0.68),2025-12-03 09:18:00
55,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0049 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-03 09:49:00
56,1,1,Office C,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0001 denied entry at Office C (door DOOR-F1-OfficeC),2025-12-03 10:16:00
57,1,1,Office A,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0031 denied entry at Office A (door DOOR-F1-OfficeA),2025-12-03 11:09:00
58,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0066 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-03 11:10:00
59,1,3,Meeting Room 3,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0072 denied entry at Meeting Room 3 (door DOOR-F3-MeetingRoom3),2025-12-03 11:23:00
60,1,1,Office B,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0039 denied entry at Office B (door DOOR-F1-OfficeB),2025-12-03 11:34:00
61,1,1,Meeting Room 1,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0063 denied entry at Meeting Room 1 (door DOOR-F1-MeetingRoom1),2025-12-03 11:40:00
62,1,2,Common Area,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0049 denied entry at Common Area (door DOOR-F2-CommonArea),2025-12-03 12:06:00
63,1,1,Conference Room,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected motion detected (confidence 0.77),2025-12-03 13:07:00
64,1,3,Storage,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0052 denied entry at Storage (door DOOR-F3-Storage),2025-12-03 13:11:00
65,1,1,Conference Room,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0039 denied entry at Conference Room (door DOOR-F1-ConferenceRoom),2025-12-03 14:10:00
66,1,2,Office E,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0016 denied entry at Office E (door DOOR-F2-OfficeE),2025-12-03 14:50:00
67,1,3,Common Area,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F3-CommonArea detected object left unattended (confidence 0.59),2025-12-03 15:32:00
68,1,1,Office A,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-OfficeA detected loitering (confidence 0.74),2025-12-03 22:33:00
69,1,3,Meeting Room 3,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F3-MeetingRoom3 detected tailgating (confidence 0.62),2025-12-04 07:32:00
70,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0014 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 08:00:00
71,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0032 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 08:27:00
72,1,3,Office I,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0075 denied entry at Office I (door DOOR-F3-OfficeI),2025-12-04 08:41:00
73,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0021 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 08:52:00
74,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0088 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 09:15:00
75,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0072 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 09:30:00
76,1,2,Mobile Zone,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0023 denied entry at Mobile Zone (door DOOR-F2-MobileZone),2025-12-04 09:40:00
77,1,3,Storage,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F3-Storage detected motion detected (confidence 0.91),2025-12-04 10:13:00
78,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0003 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 10:48:00
79,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0016 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 10:57:00
80,1,3,Office G,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0075 denied entry at Office G (door DOOR-F3-OfficeG),2025-12-04 11:23:00
81,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0019 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 12:05:00
82,1,3,Office G,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F3-OfficeG detected tailgating (confidence 0.95),2025-12-04 12:23:00
83,1,3,Office I,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0003 denied entry at Office I (door DOOR-F3-OfficeI),2025-12-04 12:57:00
84,1,1,Office C,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F1-OfficeC detected object left unattended (confidence 0.89),2025-12-04 13:08:00
85,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0080 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 13:44:00
86,1,2,Storage,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.95),2025-12-04 13:47:00
87,1,2,Mobile Zone,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F2-MobileZone detected object left unattended (confidence 0.91),2025-12-04 13:49:00
88,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0083 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-04 14:31:00
89,1,2,Common Area,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0064 denied entry at Common Area (door DOOR-F2-CommonArea),2025-12-04 15:24:00
90,1,1,Conference Room,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected motion detected (confidence 0.97),2025-12-04 16:05:00
91,1,1,Meeting Room 1,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0015 denied entry at Meeting Room 1 (door DOOR-F1-MeetingRoom1),2025-12-04 16:13:00
92,1,3,Storage,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-Storage detected loitering (confidence 0.76),2025-12-04 17:25:00
93,1,3,Storage,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0055 denied entry at Storage (door DOOR-F3-Storage),2025-12-04 17:38:00
94,1,3,Break Area,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F3-BreakArea detected tailgating (confidence 0.64),2025-12-04 19:32:00
95,1,1,Conference Room,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected motion detected (confidence 0.74),2025-12-04 20:43:00
96,1,1,Conference Room,CCTV_TAILGATING,CRITICAL,CCTV,Camera CAM-F1-ConferenceRoom detected tailgating (confidence 0.73),2025-12-04 20:43:00
97,1,1,Office D,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-OfficeD detected loitering (confidence 0.6),2025-12-04 20:57:00
98,1,2,Storage,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.67),2025-12-04 23:05:00
99,1,1,Meeting Room 1,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F1-MeetingRoom1 detected tailgating (confidence 0.96),2025-12-05 02:42:00
100,1,1,Meeting Room 1,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-MeetingRoom1 detected loitering (confidence 0.81),2025-12-05 04:51:00
101,1,1,Meeting Room 1,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0085 denied entry at Meeting Room 1 (door DOOR-F1-MeetingRoom1),2025-12-05 07:51:00
102,1,1,Lobby,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0025 denied entry at Lobby (door DOOR-F1-Lobby),2025-12-05 10:27:00
103,1,1,Storage,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-Storage detected loitering (confidence 0.92),2025-12-05 11:05:00
104,1,2,Office E,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0019 denied entry at Office E (door DOOR-F2-OfficeE),2025-12-05 11:50:00
105,1,1,Office B,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0063 denied entry at Office B (door DOOR-F1-OfficeB),2025-12-05 12:12:00
106,1,1,Conference Room,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected motion detected (confidence 0.56),2025-12-05 12:43:00
107,1,2,Office E,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0077 denied entry at Office E (door DOOR-F2-OfficeE),2025-12-05 12:51:00
108,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0034 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-05 13:21:00
109,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0059 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-05 13:33:00
110,1,2,Meeting Room 2,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F2-MeetingRoom2 detected object left unattended (confidence 0.86),2025-12-05 13:45:00
111,1,3,Storage,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F3-Storage detected motion detected (confidence 0.65),2025-12-05 14:09:00
112,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0057 accessed Storage outside working hours,2025-12-05 19:07:00
113,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0028 accessed Storage outside working hours,2025-12-05 19:28:00
114,1,2,Storage,CCTV_CROWD_DETECTED,MEDIUM,CCTV,Camera CAM-F2-Storage detected crowd detected (confidence 0.77),2025-12-05 20:14:00
115,1,1,Office A,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-OfficeA detected loitering (confidence 0.8),2025-12-05 21:53:00
116,1,3,Break Area,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-BreakArea detected loitering (confidence 0.78),2025-12-05 22:01:00
117,1,3,Break Area,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-BreakArea detected loitering (confidence 0.93),2025-12-06 06:43:00
118,1,1,Conference Room,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected motion detected (confidence 0.65),2025-12-06 08:02:00
119,1,3,Office H,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F3-OfficeH detected object left unattended (confidence 0.84),2025-12-06 08:25:00
120,1,3,Break Area,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0013 denied entry at Break Area (door DOOR-F3-BreakArea),2025-12-06 08:27:00
121,1,2,Meeting Room 2,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0027 denied entry at Meeting Room 2 (door DOOR-F2-MeetingRoom2),2025-12-06 11:17:00
122,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0002 accessed Storage outside working hours,2025-12-06 11:46:00
123,1,1,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0027 accessed Storage outside working hours,2025-12-06 12:19:00
124,1,3,Break Area,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-BreakArea detected loitering (confidence 0.82),2025-12-06 12:57:00
125,1,3,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0069 accessed Storage outside working hours,2025-12-06 13:00:00
126,1,3,Storage,CCTV_CROWD_DETECTED,MEDIUM,CCTV,Camera CAM-F3-Storage detected crowd detected (confidence 0.63),2025-12-06 13:05:00
127,1,3,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0005 accessed Storage outside working hours,2025-12-06 14:10:00
128,1,1,Office A,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-OfficeA detected loitering (confidence 0.7),2025-12-06 15:11:00
129,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0042 accessed Storage outside working hours,2025-12-06 15:19:00
130,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0024 accessed Storage outside working hours,2025-12-06 15:22:00
131,1,1,Cafeteria,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0084 denied entry at Cafeteria (door DOOR-F1-Cafeteria),2025-12-06 16:36:00
132,1,3,Storage,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F3-Storage detected motion detected (confidence 0.98),2025-12-06 17:30:00
133,1,3,Break Area,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F3-BreakArea detected object left unattended (confidence 0.88),2025-12-06 17:45:00
134,1,2,Storage,REPEATED_UNAUTHORIZED_ACCESS,CRITICAL,ACCESS_CONTROL,Badge BADGE-0084 denied entry at Storage (door DOOR-F2-Storage),2025-12-06 18:08:00
135,1,2,Storage,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.94),2025-12-06 18:24:00
136,1,2,Office F,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F2-OfficeF detected loitering (confidence 0.98),2025-12-06 18:24:00
137,1,1,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0025 accessed Storage outside working hours,2025-12-06 19:44:00
138,1,2,Storage,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.64),2025-12-06 20:47:00
139,1,1,Conference Room,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F1-ConferenceRoom detected loitering (confidence 0.64),2025-12-07 00:21:00
140,1,2,Storage,CCTV_TAILGATING,CRITICAL,CCTV,Camera CAM-F2-Storage detected tailgating (confidence 0.8),2025-12-07 02:17:00
141,1,1,Storage,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F1-Storage detected loitering (confidence 0.93),2025-12-07 03:37:00
142,1,1,Office B,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-OfficeB detected loitering (confidence 0.95),2025-12-07 03:47:00
143,1,3,Office G,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F3-OfficeG detected object left unattended (confidence 0.99),2025-12-07 07:06:00
144,1,1,Office A,CCTV_TAILGATING,HIGH,CCTV,Camera CAM-F1-OfficeA detected tailgating (confidence 0.88),2025-12-07 07:53:00
145,1,1,Lobby,CCTV_CAMERA_OFFLINE,MEDIUM,CCTV,Camera CAM-F1-Lobby detected camera offline (confidence 0.78),2025-12-07 09:09:00
146,1,3,Office I,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-OfficeI detected loitering (confidence 0.7),2025-12-07 10:29:00
147,1,3,Storage,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F3-Storage detected motion detected (confidence 0.74),2025-12-07 10:48:00
148,1,1,Conference Room,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected object left unattended (confidence 0.74),2025-12-07 10:55:00
149,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0070 accessed Storage outside working hours,2025-12-07 11:36:00
150,1,3,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0085 accessed Storage outside working hours,2025-12-07 12:23:00
151,1,3,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0052 accessed Storage outside working hours,2025-12-07 12:33:00
152,1,2,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0036 accessed Storage outside working hours,2025-12-07 14:02:00
153,1,3,Office H,CCTV_OBJECT_LEFT_UNATTENDED,MEDIUM,CCTV,Camera CAM-F3-OfficeH detected object left unattended (confidence 0.69),2025-12-07 15:29:00
154,1,2,Storage,CCTV_TAILGATING,CRITICAL,CCTV,Camera CAM-F2-Storage detected tailgating (confidence 0.71),2025-12-07 15:33:00
155,1,1,Conference Room,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0001 accessed Conference Room outside working hours,2025-12-07 15:34:00
156,1,1,Storage,AFTER_HOURS_RESTRICTED_ACCESS,MEDIUM,ACCESS_CONTROL,Badge BADGE-0069 accessed Storage outside working hours,2025-12-07 16:14:00
157,1,2,Meeting Room 2,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0084 denied entry at Meeting Room 2 (door DOOR-F2-MeetingRoom2),2025-12-07 16:37:00
