cctv_event_id,facility_id,floor,zone,camera_id,event_type,confidence,timestamp
56,1,1,Office B,CAM-F1-OfficeB,loitering,0.87,2025-12-22 14:35:00
57,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.62,2025-12-24 12:03:00
58,1,3,Break Area,CAM-F3-BreakArea,loitering,0.59,2025-12-10 21:02:00
59,1,3,Break Area,CAM-F3-BreakArea,loitering,0.82,2025-12-06 12:57:00
60,1,3,Project Room,CAM-F3-ProjectRoom,motion_detected,0.85,2025-12-16 14:43:00
61,1,3,Break Area,CAM-F3-BreakArea,crowd_detected,0.93,2025-12-28 17:14:00
62,1,2,Common Area,CAM-F2-CommonArea,loitering,0.69,2025-12-11 14:47:00
63,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.89,2025-12-12 17:39:00
64,1,1,Storage,CAM-F1-Storage,tailgating,0.68,2025-12-22 20:28:00
65,1,3,Break Area,CAM-F3-BreakArea,motion_detected,0.75,2025-12-28 10:15:00
66,1,3,Project Room,CAM-F3-ProjectRoom,motion_detected,0.74,2025-12-25 14:50:00
67,1,2,Mobile Zone,CAM-F2-MobileZone,loitering,0.72,2025-12-24 16:28:00
68,1,1,Office D,CAM-F1-OfficeD,tailgating,0.77,2025-12-24 06:21:00
69,1,1,Office C,CAM-F1-OfficeC,object_left_unattended,0.84,2025-12-26 11:38:00
70,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.78,2025-12-17 18:25:00
71,1,1,Office C,CAM-F1-OfficeC,motion_detected,0.78,2025-12-09 16:02:00
72,1,1,Cafeteria,CAM-F1-Cafeteria,object_left_unattended,0.63,2025-12-27 15:25:00
73,1,1,Office B,CAM-F1-OfficeB,motion_detected,0.7,2025-12-22 11:16:00
74,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,loitering,0.66,2025-12-20 02:48:00
75,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,object_left_unattended,0.95,2025-12-15 08:06:00
76,1,1,Office C,CAM-F1-OfficeC,camera_offline,0.71,2025-12-23 18:33:00
77,1,3,Storage,CAM-F3-Storage,motion_detected,0.74,2025-12-28 13:43:00
78,1,3,Office H,CAM-F3-OfficeH,loitering,0.65,2025-12-20 12:38:00
79,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.77,2025-12-03 13:07:00
80,1,1,Cafeteria,CAM-F1-Cafeteria,object_left_unattended,0.86,2025-12-02 14:46:00
81,1,3,Common Area,CAM-F3-CommonArea,tailgating,0.88,2025-12-09 07:56:00
82,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,tailgating,0.96,2025-12-05 02:42:00
83,1,1,Office A,CAM-F1-OfficeA,crowd_detected,0.91,2025-12-11 11:34:00
84,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,crowd_detected,0.9,2025-12-17 14:58:00
85,1,1,Office D,CAM-F1-OfficeD,loitering,0.9,2025-12-23 20:48:00
86,1,3,Office G,CAM-F3-OfficeG,motion_detected,0.67,2025-12-22 18:34:00
87,1,2,Office E,CAM-F2-OfficeE,motion_detected,0.66,2025-12-13 09:37:00
88,1,2,Storage,CAM-F2-Storage,loitering,0.67,2025-12-04 23:05:00
89,1,1,Office C,CAM-F1-OfficeC,motion_detected,0.57,2025-12-15 12:34:00
90,1,1,Storage,CAM-F1-Storage,object_left_unattended,0.75,2025-12-12 09:27:00
91,1,2,Common Area,CAM-F2-CommonArea,crowd_detected,0.82,2025-12-20 15:41:00
92,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,loitering,0.67,2025-12-18 12:18:00
93,1,3,Office H,CAM-F3-OfficeH,crowd_detected,0.98,2025-12-09 19:18:00
94,1,1,Lobby,CAM-F1-Lobby,motion_detected,0.99,2025-12-09 16:59:00
95,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,camera_offline,0.95,2025-12-23 13:56:00
96,1,3,Storage,CAM-F3-Storage,camera_offline,0.7,2025-12-11 18:29:00
97,1,1,Office C,CAM-F1-OfficeC,loitering,0.62,2025-12-23 21:07:00
98,1,1,Storage,CAM-F1-Storage,loitering,0.6,2025-12-27 03:26:00
99,1,1,Office C,CAM-F1-OfficeC,motion_detected,0.61,2025-12-12 19:25:00
100,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,crowd_detected,0.58,2025-12-23 20:57:00
101,1,2,Storage,CAM-F2-Storage,loitering,0.98,2025-12-01 20:20:00
102,1,1,Office D,CAM-F1-OfficeD,motion_detected,0.75,2025-12-13 18:08:00
103,1,2,Office E,CAM-F2-OfficeE,motion_detected,0.74,2025-12-08 10:53:00
104,1,3,Break Area,CAM-F3-BreakArea,object_left_unattended,0.88,2025-12-06 17:45:00
105,1,3,Office G,CAM-F3-OfficeG,loitering,0.68,2025-12-03 09:18:00
106,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.9,2025-12-14 08:51:00
107,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.56,2025-12-21 15:44:00
108,1,3,Office I,CAM-F3-OfficeI,motion_detected,0.88,2025-12-28 14:34:00
109,1,1,Office B,CAM-F1-OfficeB,motion_detected,0.86,2025-12-29 08:20:00
110,1,2,Office E,CAM-F2-OfficeE,loitering,0.72,2025-12-12 15:25:00
111,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.59,2025-12-14 20:18:00
112,1,1,Office A,CAM-F1-OfficeA,loitering,0.7,2025-12-06 15:11:00
113,1,1,Office C,CAM-F1-OfficeC,crowd_detected,0.79,2025-12-06 15:45:00
114,1,2,Common Area,CAM-F2-CommonArea,motion_detected,0.97,2025-12-19 12:53:00
115,1,1,Storage,CAM-F1-Storage,loitering,0.79,2025-12-13 11:11:00
116,1,1,Conference Room,CAM-F1-ConferenceRoom,object_left_unattended,0.57,2025-12-23 14:56:00
117,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.92,2025-12-02 17:14:00
118,1,1,Conference Room,CAM-F1-ConferenceRoom,loitering,0.87,2025-12-27 08:50:00
119,1,1,Conference Room,CAM-F1-ConferenceRoom,object_left_unattended,0.74,2025-12-07 10:55:00
120,1,2,Mobile Zone,CAM-F2-MobileZone,motion_detected,0.9,2025-12-17 11:08:00
121,1,3,Office G,CAM-F3-OfficeG,motion_detected,0.86,2025-12-18 13:34:00
122,1,2,Office F,CAM-F2-OfficeF,loitering,0.98,2025-12-06 18:24:00
123,1,1,Lobby,CAM-F1-Lobby,motion_detected,0.8,2025-12-05 14:28:00
124,1,1,Storage,CAM-F1-Storage,camera_offline,0.63,2025-12-15 07:26:00
125,1,3,Office I,CAM-F3-OfficeI,object_left_unattended,0.83,2025-12-08 11:40:00
126,1,3,Common Area,CAM-F3-CommonArea,motion_detected,0.94,2025-12-23 10:21:00
127,1,1,Conference Room,CAM-F1-ConferenceRoom,loitering,0.64,2025-12-07 00:21:00
128,1,3,Office H,CAM-F3-OfficeH,tailgating,0.88,2025-12-12 01:14:00
129,1,3,Break Area,CAM-F3-BreakArea,motion_detected,0.91,2025-12-27 15:22:00
130,1,2,Storage,CAM-F2-Storage,tailgating,0.87,2025-12-30 07:48:00
131,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.73,2025-12-11 11:58:00
132,1,3,Project Room,CAM-F3-ProjectRoom,object_left_unattended,0.98,2025-12-24 17:14:00
133,1,2,Storage,CAM-F2-Storage,crowd_detected,0.6,2025-12-29 07:18:00
134,1,2,Common Area,CAM-F2-CommonArea,camera_offline,0.97,2025-12-16 15:54:00
135,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,loitering,0.73,2025-12-26 20:18:00
136,1,3,Common Area,CAM-F3-CommonArea,motion_detected,0.9,2025-12-15 13:53:00
137,1,2,Office F,CAM-F2-OfficeF,loitering,0.85,2025-12-13 04:47:00
138,1,3,Office G,CAM-F3-OfficeG,motion_detected,0.63,2025-12-24 09:45:00
139,1,1,Office C,CAM-F1-OfficeC,motion_detected,0.7,2025-12-23 15:38:00
140,1,3,Office I,CAM-F3-OfficeI,crowd_detected,0.55,2025-12-15 14:01:00
141,1,2,Common Area,CAM-F2-CommonArea,motion_detected,0.67,2025-12-29 17:39:00
142,1,2,Office F,CAM-F2-OfficeF,object_left_unattended,0.67,2025-12-19 17:53:00
143,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.79,2025-12-14 07:40:00
144,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.57,2025-12-07 09:45:00
145,1,1,Lobby,CAM-F1-Lobby,loitering,0.97,2025-12-19 10:46:00
146,1,3,Office G,CAM-F3-OfficeG,crowd_detected,0.79,2025-12-03 13:09:00
147,1,1,Lobby,CAM-F1-Lobby,motion_detected,0.69,2025-12-12 16:03:00
148,1,3,Office I,CAM-F3-OfficeI,camera_offline,0.85,2025-12-25 07:34:00
149,1,1,Office D,CAM-F1-OfficeD,object_left_unattended,0.67,2025-12-12 10:29:00
150,1,1,Cafeteria,CAM-F1-Cafeteria,motion_detected,0.83,2025-12-11 07:08:00
151,1,2,Storage,CAM-F2-Storage,motion_detected,0.96,2025-12-16 08:20:00
152,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.75,2025-12-20 16:23:00
153,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,crowd_detected,0.7,2025-12-22 12:31:00
154,1,2,Office F,CAM-F2-OfficeF,loitering,0.7,2025-12-20 07:57:00
155,1,3,Common Area,CAM-F3-CommonArea,tailgating,0.78,2025-12-08 20:19:00
156,1,2,Office E,CAM-F2-OfficeE,motion_detected,0.7,2025-12-29 10:39:00
157,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.71,2025-12-23 17:57:00
158,1,1,Office B,CAM-F1-OfficeB,crowd_detected,0.83,2025-12-15 19:33:00
159,1,3,Office H,CAM-F3-OfficeH,object_left_unattended,0.84,2025-12-06 08:25:00
160,1,1,Office D,CAM-F1-OfficeD,motion_detected,0.63,2025-12-28 17:45:00
161,1,2,Office E,CAM-F2-OfficeE,crowd_detected,0.86,2025-12-27 14:18:00
162,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.9,2025-12-05 10:02:00
163,1,3,Break Area,CAM-F3-BreakArea,loitering,0.78,2025-12-05 22:01:00
164,1,3,Office I,CAM-F3-OfficeI,motion_detected,0.91,2025-12-05 07:12:00
165,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,crowd_detected,0.96,2025-12-22 09:46:00
166,1,1,Conference Room,CAM-F1-ConferenceRoom,camera_offline,0.87,2025-12-24 11:00:00
167,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.83,2025-12-19 10:18:00
168,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.87,2025-12-19 09:51:00
169,1,3,Office I,CAM-F3-OfficeI,motion_detected,0.84,2025-12-29 18:53:00
170,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,loitering,0.56,2025-12-16 07:45:00
171,1,3,Office G,CAM-F3-OfficeG,crowd_detected,0.9,2025-12-20 08:08:00
172,1,3,Common Area,CAM-F3-CommonArea,crowd_detected,0.73,2025-12-08 12:19:00
173,1,1,Office C,CAM-F1-OfficeC,crowd_detected,0.6,2025-12-18 08:50:00
174,1,2,Office E,CAM-F2-OfficeE,camera_offline,0.9,2025-12-24 10:16:00
175,1,3,Storage,CAM-F3-Storage,motion_detected,0.82,2025-12-12 19:43:00
176,1,3,Storage,CAM-F3-Storage,crowd_detected,0.63,2025-12-06 13:05:00
177,1,1,Lobby,CAM-F1-Lobby,object_left_unattended,0.6,2025-12-10 08:49:00
178,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.86,2025-12-25 08:56:00
179,1,1,Cafeteria,CAM-F1-Cafeteria,motion_detected,0.59,2025-12-17 10:02:00
180,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.82,2025-12-28 07:10:00
181,1,3,Project Room,CAM-F3-ProjectRoom,loitering,0.8,2025-12-02 18:04:00
182,1,3,Break Area,CAM-F3-BreakArea,motion_detected,0.63,2025-12-14 12:10:00
183,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,tailgating,0.62,2025-12-04 07:32:00
184,1,3,Break Area,CAM-F3-BreakArea,motion_detected,0.87,2025-12-07 13:35:00
185,1,3,Storage,CAM-F3-Storage,motion_detected,0.74,2025-12-07 10:48:00
186,1,3,Common Area,CAM-F3-CommonArea,loitering,0.86,2025-12-13 18:56:00
187,1,1,Office C,CAM-F1-OfficeC,loitering,0.6,2025-12-30 21:39:00
188,1,3,Office H,CAM-F3-OfficeH,object_left_unattended,0.69,2025-12-26 11:02:00
189,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.62,2025-12-04 10:50:00
190,1,1,Lobby,CAM-F1-Lobby,camera_offline,0.71,2025-12-09 11:37:00
191,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.89,2025-12-16 15:30:00
192,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,object_left_unattended,0.7,2025-12-02 14:29:00
193,1,3,Storage,CAM-F3-Storage,motion_detected,0.65,2025-12-05 14:09:00
194,1,2,Mobile Zone,CAM-F2-MobileZone,object_left_unattended,0.56,2025-12-25 08:25:00
195,1,1,Cafeteria,CAM-F1-Cafeteria,loitering,0.59,2025-12-22 18:04:00
196,1,3,Break Area,CAM-F3-BreakArea,camera_offline,0.89,2025-12-24 07:20:00
197,1,3,Storage,CAM-F3-Storage,motion_detected,0.88,2025-12-25 07:12:00
198,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.58,2025-12-20 19:13:00
199,1,2,Mobile Zone,CAM-F2-MobileZone,loitering,0.85,2025-12-28 03:25:00
200,1,1,Lobby,CAM-F1-Lobby,tailgating,0.85,2025-12-28 10:13:00
201,1,1,Office B,CAM-F1-OfficeB,loitering,0.91,2025-12-01 12:33:00
202,1,1,Office A,CAM-F1-OfficeA,loitering,0.57,2025-12-19 11:41:00
203,1,2,Common Area,CAM-F2-CommonArea,motion_detected,0.64,2025-12-07 10:19:00
204,1,1,Office A,CAM-F1-OfficeA,object_left_unattended,0.79,2025-12-26 12:56:00
205,1,3,Office G,CAM-F3-OfficeG,motion_detected,0.86,2025-12-10 18:34:00
206,1,3,Office I,CAM-F3-OfficeI,loitering,0.7,2025-12-07 10:29:00
207,1,1,Office A,CAM-F1-OfficeA,loitering,0.71,2025-12-27 22:43:00
208,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.6,2025-12-24 12:55:00
209,1,3,Project Room,CAM-F3-ProjectRoom,motion_detected,0.89,2025-12-25 16:26:00
210,1,1,Cafeteria,CAM-F1-Cafeteria,motion_detected,0.89,2025-12-30 20:10:00
211,1,1,Lobby,CAM-F1-Lobby,loitering,0.86,2025-12-14 10:35:00
212,1,1,Cafeteria,CAM-F1-Cafeteria,crowd_detected,0.63,2025-12-13 20:40:00
213,1,1,Lobby,CAM-F1-Lobby,motion_detected,0.65,2025-12-18 11:44:00
214,1,1,Storage,CAM-F1-Storage,loitering,0.74,2025-12-15 11:33:00
215,1,3,Office G,CAM-F3-OfficeG,motion_detected,0.77,2025-12-23 13:14:00
216,1,1,Office C,CAM-F1-OfficeC,motion_detected,0.75,2025-12-05 10:06:00
217,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.73,2025-12-29 14:30:00
218,1,1,Office D,CAM-F1-OfficeD,motion_detected,0.78,2025-12-09 11:00:00
219,1,1,Office D,CAM-F1-OfficeD,object_left_unattended,0.58,2025-12-24 11:51:00
220,1,2,Storage,CAM-F2-Storage,loitering,0.94,2025-12-06 18:24:00
221,1,1,Office C,CAM-F1-OfficeC,loitering,0.64,2025-12-14 22:55:00
222,1,2,Mobile Zone,CAM-F2-MobileZone,motion_detected,0.73,2025-12-03 16:10:00
223,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.83,2025-12-26 12:45:00
224,1,2,Mobile Zone,CAM-F2-MobileZone,crowd_detected,0.73,2025-12-12 09:47:00
225,1,1,Lobby,CAM-F1-Lobby,loitering,0.99,2025-12-13 03:05:00
226,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.67,2025-12-07 19:43:00
227,1,3,Break Area,CAM-F3-BreakArea,motion_detected,0.8,2025-12-11 12:54:00
228,1,3,Break Area,CAM-F3-BreakArea,object_left_unattended,0.65,2025-12-14 07:00:00
229,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.83,2025-12-28 16:26:00
230,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,loitering,0.81,2025-12-05 04:51:00
231,1,1,Storage,CAM-F1-Storage,motion_detected,0.88,2025-12-22 19:28:00
232,1,1,Cafeteria,CAM-F1-Cafeteria,object_left_unattended,0.71,2025-12-13 10:34:00
233,1,1,Office B,CAM-F1-OfficeB,motion_detected,0.75,2025-12-19 17:40:00
234,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.82,2025-12-07 19:45:00
235,1,1,Office C,CAM-F1-OfficeC,tailgating,0.6,2025-12-14 07:34:00
236,1,1,Cafeteria,CAM-F1-Cafeteria,object_left_unattended,0.93,2025-12-14 19:16:00
237,1,1,Office A,CAM-F1-OfficeA,motion_detected,0.66,2025-12-08 15:40:00
238,1,1,Storage,CAM-F1-Storage,crowd_detected,0.56,2025-12-07 20:29:00
239,1,3,Storage,CAM-F3-Storage,motion_detected,0.86,2025-12-14 16:21:00
240,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,crowd_detected,0.91,2025-12-11 08:19:00
241,1,3,Project Room,CAM-F3-ProjectRoom,motion_detected,0.72,2025-12-12 16:47:00
242,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.98,2025-12-11 20:05:00
243,1,3,Storage,CAM-F3-Storage,object_left_unattended,0.74,2025-12-16 12:54:00
244,1,3,Office G,CAM-F3-OfficeG,motion_detected,0.6,2025-12-11 07:00:00
245,1,3,Storage,CAM-F3-Storage,motion_detected,0.68,2025-12-28 10:17:00
246,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,object_left_unattended,0.69,2025-12-22 18:48:00
247,1,1,Conference Room,CAM-F1-ConferenceRoom,loitering,0.91,2025-12-08 15:14:00
248,1,2,Common Area,CAM-F2-CommonArea,crowd_detected,0.76,2025-12-09 15:38:00
249,1,1,Office C,CAM-F1-OfficeC,camera_offline,0.57,2025-12-22 20:02:00
250,1,2,Storage,CAM-F2-Storage,loitering,0.73,2025-12-01 05:28:00
251,1,1,Office C,CAM-F1-OfficeC,object_left_unattended,0.67,2025-12-24 07:54:00
252,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,loitering,0.86,2025-12-10 22:20:00
253,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,camera_offline,0.79,2025-12-26 20:57:00
254,1,3,Common Area,CAM-F3-CommonArea,loitering,0.86,2025-12-07 19:30:00
255,1,2,Mobile Zone,CAM-F2-MobileZone,loitering,0.64,2025-12-22 08:42:00
256,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,crowd_detected,0.83,2025-12-14 13:17:00
257,1,3,Storage,CAM-F3-Storage,motion_detected,0.94,2025-12-16 15:08:00
258,1,1,Office C,CAM-F1-OfficeC,loitering,0.85,2025-12-27 14:02:00
259,1,3,Office H,CAM-F3-OfficeH,loitering,0.99,2025-12-26 20:07:00
260,1,1,Office D,CAM-F1-OfficeD,motion_detected,0.66,2025-12-03 13:16:00
261,1,3,Storage,CAM-F3-Storage,motion_detected,0.66,2025-12-21 20:32:00
262,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.87,2025-12-15 11:11:00
263,1,2,Office E,CAM-F2-OfficeE,crowd_detected,0.91,2025-12-28 10:46:00
264,1,3,Break Area,CAM-F3-BreakArea,crowd_detected,0.89,2025-12-17 20:41:00
265,1,3,Storage,CAM-F3-Storage,motion_detected,0.98,2025-12-06 17:30:00
266,1,3,Office I,CAM-F3-OfficeI,object_left_unattended,0.75,2025-12-22 18:31:00
267,1,1,Office B,CAM-F1-OfficeB,loitering,0.7,2025-12-16 17:09:00
268,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.79,2025-12-11 18:49:00
269,1,1,Office A,CAM-F1-OfficeA,camera_offline,0.73,2025-12-18 19:10:00
270,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.73,2025-12-19 13:42:00
271,1,1,Office A,CAM-F1-OfficeA,loitering,0.8,2025-12-05 21:53:00
272,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.88,2025-12-15 11:25:00
273,1,3,Break Area,CAM-F3-BreakArea,motion_detected,0.87,2025-12-17 08:49:00
274,1,1,Office A,CAM-F1-OfficeA,tailgating,0.88,2025-12-07 07:53:00
275,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,camera_offline,0.91,2025-12-27 14:02:00
276,1,3,Office G,CAM-F3-OfficeG,object_left_unattended,0.78,2025-12-17 15:40:00
277,1,2,Common Area,CAM-F2-CommonArea,tailgating,0.96,2025-12-30 19:51:00
278,1,1,Lobby,CAM-F1-Lobby,motion_detected,0.9,2025-12-06 19:53:00
279,1,3,Storage,CAM-F3-Storage,loitering,0.67,2025-12-02 11:32:00
280,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,tailgating,0.73,2025-12-22 04:55:00
281,1,3,Break Area,CAM-F3-BreakArea,loitering,0.93,2025-12-06 06:43:00
282,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.76,2025-12-13 09:27:00
283,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.77,2025-12-22 19:38:00
284,1,3,Office H,CAM-F3-OfficeH,motion_detected,0.77,2025-12-04 16:17:00
285,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.64,2025-12-12 19:02:00
286,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.63,2025-12-25 09:03:00
287,1,1,Conference Room,CAM-F1-ConferenceRoom,loitering,0.97,2025-12-13 06:42:00
288,1,1,Storage,CAM-F1-Storage,motion_detected,0.66,2025-12-12 14:14:00
289,1,3,Project Room,CAM-F3-ProjectRoom,tailgating,0.88,2025-12-30 06:49:00
290,1,2,Mobile Zone,CAM-F2-MobileZone,motion_detected,0.7,2025-12-08 13:32:00
291,1,3,Common Area,CAM-F3-CommonArea,motion_detected,0.76,2025-12-05 13:47:00
292,1,1,Office D,CAM-F1-OfficeD,motion_detected,0.76,2025-12-05 15:12:00
